,Unnamed: 0,Temas,Sector,ok,Desarrollo,Objetivo,Importancia,Recursos,Responsable,Tiempo Ejec,u$s invertido,u$s Ganados
14,,Bomba de Agua,Efluentes,_,Colocar en cisterna de agua una bomba grande que abastezca el tk a ritmo de producción.,"Mejorar procesos qcos y productivos, lograr consistencia de calidad.",Critico,u$s,ELP - MM,_,0.0,0.0
15,,Bomba Macuer,Ribera,_,"Instalar la bomba Macuer en ribera que descargue en camión, tener en cuenta el taponamiento",Aumentar la productividad en un 200 %,Critico,u$s,ELP - MM,_,0.0,0.0
16,,Burletes de puertas,Curtido,_,Reparar los burletes de las puertas estan muy deteriorados pierden licor,Mejorar el proceso quimico aumentar productividad,Critico,Tiempo ,ELP - MM,5 dias,,
17,,Caballetes,Terminacion,_,Numerar los caballetes y relevar el estado ,Reparar el 100 % y tener un seguimiento de las roturas por tipo de caballete,Critico,u$s,ELP - MM,30 dias,0.0,0.0
18,,Cambiar la Tina del FC 5,Curtido,_,Cambiar la tina pierde licor se preparan acidos en esta tina,Mejorar el proceso quimico aumentar productividad,Critico,Tiempo ,ELP - MM,5 dias,,
28,,Cubre poleas,Curtido,_,Colocar cubre poleas a todos los fulones,Evitar accidentes ,Importante,u$s,ELP - MM,_,0.0,0.0
38,,Escaleras con descanso,Pelambre,_,Construir escaleras con descanso de manera de aprovechar el espacio en forma de (L) caja,Evitar accidentes ,Critico,u$s,ELP - MM,_,0.0,0.0
41,,Filtro de pelo cambiar,Administración,_,Analizar la capacidad de fitlrado de equipo garantizar el proceso en el tiempo necesario,Evitar la destruccion del pelo dentro del fulon por no tener la capacidad de filtrado de pelo,Importante,Tiempo ,ELP - MM,90 dias,0.0,0.0
52,,Luces en Terminacion ,Terminacion,_,Colocar iluminacion en maquinas y mesas de recortes,Garantizar la seguridad y el desarrollo adecuado de la tarea con la calidad necesaria del producto,Critico,u$s,ELP - MM,10 dias,0.0,0.0
53,,Mampara FC 1,Curtido,_,Colocar una mampara protectora de madera,Mejorar la seguridad en el trabajo y la productividad.,Critico,Tiempo ,ELP - MM,5 dias,,
71,,Plataforma para Rebajadoras,Rebajado,_,Colocar plataformas en las rebajadoras,Mejorar la productividad y el rendimiento,Critico,u$s,ELP - MM,30 dias,,
75,,Puerta en FC 3,Curtido,_,Repara la puerta del Fulon esta rota un fleje pierde licor,Mejorar el proceso quimico aumentar productividad,Critico,Tiempo ,ELP - MM,5 dias,,
76,,Recambio en bajadas de luz,Administración,_,Pedir un relevamiento de los equipos conectados a cada bajada de luz,Evitar cortes de energia evitables,Critico,Tiempo ,ELP - MM,30 dias,,
77,,Recipiente Macuer,Ribera,_,"Construir una batea para contener la garra para bombeo, construir la pefileria desmontable",Aumentar la productividad en un 200 %,Critico,u$s,ELP - MM,_,0.0,0.0
80,,Rolo de Goma maquina de Dividir,Ribera,_,Reparar el rolo de Goma nuevo dejarlo en condiciones similar al que esta en uso,"Garantizar el isumo, desarrollar un tornero, tener el insumo en el lugar correcto (construir un cajon para guardarlo)",Critico,u$s,ELP - MM,10 dias,0.0,0.0
81,,Seguridad de Maquinas,Rebajado,_,Colocar las banda de seguridad y disminuir la fuerza del embocado,Evitar accidentes y mejorar el rendimiento del trabajo,Critico,Tiempo ,ELP - MM,30 dias,,
82,,Sogas de Seguridad,Pelambre,_,Colocar malas o sogas que eviten el acercamiento de los operarios a los fulones,Evitar accidentes ,Importante,u$s,ELP - MM,_,0.0,0.0
83,,Tapar canales,Administración,_,Establecer un responsable de auditoria de estos canales,Evitar accidentes ,Importante,Tiempo ,ELP - MM,_,0.0,0.0
84,,Tapar Maquinas,Ribera,_,Tapar todo lo que contenga partes que  puedan dañar a las personas ,Evitar accidentes ,Critico,Tiempo ,ELP - MM,_,0.0,0.0
85,,Tarimas de Carga sdos (2x1),Barraca,_,Establecer un numero y construir especificas para el sector (2x1) de 8 o 9 tablas similar Terminacion,"Aumentar la productividad en un 200 % en el recorte de cuero, disminuir los tiempos de traslado y carga",Critico,u$s,ELP - MM,_,0.0,0.0
93,,Tinas y sector de agregado de quimico,Recurtido,_,Evaluar tener una sola tina con las condiciones adecuadas y espacio p/ agregados vs barrido de linea,"Mejorar la logistica de carga, evitar accidentes, mejorar procesos quimicos, tener lugares aptos para la carga evita errores.",Importante,u$s,ELP - MM,180 dias,0.0,0.0
99,,Trabajo de los talleres,Administración,_,Analizar las tareas asignadas en los talleres.,"Mejorar la asignacion de tareas deacuerdo a prioridades de PCP y Produccion, mejorar la alinecion del equipo de servicio en funcion de los objetivos principales",Importante,Tiempo ,ELP - MM,180 días,0.0,0.0
